id,tourist_id,type,zone_id,severity,message,lat,lng,acknowledged,created_at
1,1,geofence,5,high,Entered high risk zone: Paltan Bazaar Transit Hub,26.182976,91.751552,1,2026-08-11 07:36:55
2,1,geofence,27,high,Entered high risk zone: Auto Hot-Zone #0 (DBSCAN),26.182976,91.751552,1,2026-08-11 07:36:55
3,1,geofence,5,high,Entered high risk zone: Paltan Bazaar Transit Hub,26.183108,91.751707,1,2026-08-11 07:47:55
4,1,geofence,27,high,Entered high risk zone: Auto Hot-Zone #0 (DBSCAN),26.183108,91.751707,1,2026-08-11 07:47:55
5,1,geofence,5,high,Entered high risk zone: Paltan Bazaar Transit Hub,26.183063,91.751262,0,2026-08-11 07:58:55
6,1,geofence,27,high,Entered high risk zone: Auto Hot-Zone #0 (DBSCAN),26.183063,91.751262,1,2026-08-11 07:58:55
7,1,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.134717,91.805959,1,2026-08-11 08:21:21
8,1,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.134944,91.806141,1,2026-08-11 08:33:21
9,1,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.134674,91.806192,1,2026-08-11 08:42:21
10,1,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.13458,91.805836,1,2026-08-11 08:51:21
11,2,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.135679,91.806086,1,2026-08-20 09:08:09
12,2,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.135833,91.80587,1,2026-08-20 09:20:09
13,2,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.135793,91.806092,0,2026-08-20 09:29:09
14,2,geofence,30,high,Entered high risk zone: Auto Hot-Zone #3 (DBSCAN),26.135504,91.805931,1,2026-08-20 09:38:09
15,2,anomaly,,high,Anomaly detected: prolonged inactivity 74 min,26.140779,91.793151,0,2026-08-21 08:05:33
16,2,anomaly,,high,Anomaly detected: prolonged inactivity 60 min,26.140265,91.792164,1,2026-08-22 07:30:57
