id,incident_id,status,note,timestamp
1,1,detected,AI anomaly: prolonged inactivity 74 min,2026-08-21 08:05:33
2,2,detected,AI anomaly: prolonged inactivity 60 min,2026-08-22 07:30:57
3,2,acknowledged,Acknowledged by control room,2026-08-22 07:32:35
4,2,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-08-22 07:35:13
5,2,resolved,"Escorted out of restricted area, advisory issued",2026-08-22 07:50:50
6,3,detected,Restricted-zone entry: Deepor Beel Wetland Edge,2026-08-30 08:09:04
7,3,acknowledged,Acknowledged by control room,2026-08-30 08:11:04
8,3,dispatched,Auto-dispatched to Unit Charlie-3 (Noonmati Police Station),2026-08-30 08:11:56
9,3,resolved,Tourist located and confirmed safe,2026-08-30 08:23:38
10,4,detected,AI anomaly: prolonged inactivity 196 min,2026-09-01 09:47:09
11,4,acknowledged,Acknowledged by control room,2026-09-01 09:50:46
12,4,dispatched,Auto-dispatched to Unit Alpha-1 (Dispur Police Station),2026-09-01 09:52:00
13,4,resolved,Tourist located and confirmed safe,2026-09-01 10:32:22
14,5,detected,AI anomaly: prolonged inactivity 475 min,2026-08-23 14:49:45
15,5,acknowledged,Acknowledged by control room,2026-08-23 14:53:37
16,5,dispatched,Auto-dispatched to Unit Foxtrot-2 (Bhangagarh Police Station),2026-08-23 14:55:32
17,5,resolved,False positive - tourist confirmed movement by phone,2026-08-23 15:48:47
18,6,detected,AI anomaly: prolonged inactivity 213 min,2026-09-04 10:04:56
19,6,acknowledged,Acknowledged by control room,2026-09-04 10:06:30
20,6,dispatched,Auto-dispatched to Unit Echo-2 (Azara Police Station),2026-09-04 10:07:39
21,6,resolved,"Escorted out of restricted area, advisory issued",2026-09-04 10:19:46
22,7,detected,AI anomaly: prolonged inactivity 432 min,2026-09-05 13:56:10
23,7,acknowledged,Acknowledged by control room,2026-09-05 13:56:41
24,7,dispatched,Auto-dispatched to Unit Echo-3 (Airport Police Outpost),2026-09-05 13:58:23
25,7,resolved,Medical assistance provided on site,2026-09-05 14:19:11
