id,tourist_id,type,severity,status,description,lat,lng,assigned_unit_id,detected_at,acknowledged_at,dispatched_at,resolved_at
1,2,anomaly,high,detected,AI anomaly: prolonged inactivity 74 min,26.140779,91.793151,,2026-08-21 08:05:33,,,
2,2,anomaly,high,resolved,AI anomaly: prolonged inactivity 60 min,26.140265,91.792164,22,2026-08-22 07:30:57,2026-08-22 07:32:35,2026-08-22 07:35:13,2026-08-22 07:50:50
3,3,geofence,critical,resolved,Restricted-zone entry: Deepor Beel Wetland Edge,26.120941,91.650065,8,2026-08-30 08:09:04,2026-08-30 08:11:04,2026-08-30 08:11:56,2026-08-30 08:23:38
4,3,anomaly,high,resolved,AI anomaly: prolonged inactivity 196 min,25.932235,91.431991,1,2026-09-01 09:47:09,2026-09-01 09:50:46,2026-09-01 09:52:00,2026-09-01 10:32:22
5,4,anomaly,high,resolved,AI anomaly: prolonged inactivity 475 min,25.639229,91.888354,16,2026-08-23 14:49:45,2026-08-23 14:53:37,2026-08-23 14:55:32,2026-08-23 15:48:47
6,5,anomaly,high,resolved,AI anomaly: prolonged inactivity 213 min,25.578571,91.892748,13,2026-09-04 10:04:56,2026-09-04 10:06:30,2026-09-04 10:07:39,2026-09-04 10:19:46
7,5,anomaly,high,resolved,AI anomaly: prolonged inactivity 432 min,25.277932,91.684616,14,2026-09-05 13:56:10,2026-09-05 13:56:41,2026-09-05 13:58:23,2026-09-05 14:19:11
8,5,geofence,critical,resolved,Restricted-zone entry: Cherrapunji Cliff Edge,25.277932,91.684616,18,2026-09-05 13:56:10,2026-09-05 13:58:27,2026-09-05 13:59:41,2026-09-05 14:24:05
9,6,anomaly,high,dispatched,AI anomaly: prolonged inactivity 496 min,26.181947,91.75827,10,2026-08-24 14:49:26,2026-08-24 14:52:11,2026-08-24 14:54:26,
10,6,anomaly,high,resolved,AI anomaly: prolonged inactivity 70 min,26.177389,91.753573,13,2026-08-25 07:54:56,2026-08-25 07:56:59,2026-08-25 07:58:08,2026-08-25 08:08:44
11,7,geofence,critical,resolved,Restricted-zone entry: Cherrapunji Cliff Edge,25.280385,91.687463,3,2026-08-17 07:22:56,2026-08-17 07:25:30,2026-08-17 07:31:34,2026-08-17 08:15:52
12,7,anomaly,high,dispatched,AI anomaly: prolonged inactivity 57 min,26.137362,91.805987,18,2026-08-18 07:35:53,2026-08-18 07:36:22,2026-08-18 07:37:06,
13,7,anomaly,high,resolved,AI anomaly: prolonged inactivity 162 min,25.201455,91.91626,6,2026-08-19 09:36:29,2026-08-19 09:39:33,2026-08-19 09:40:04,2026-08-19 10:13:42
14,7,anomaly,high,resolved,AI anomaly: prolonged inactivity 53 min,25.20186,91.916347,5,2026-08-20 07:46:05,2026-08-20 07:48:39,2026-08-20 08:01:50,2026-08-20 08:07:40
15,7,anomaly,high,resolved,AI anomaly: prolonged inactivity 431 min,25.580033,91.892094,7,2026-08-21 13:50:17,2026-08-21 13:51:19,2026-08-21 13:52:39,2026-08-21 14:34:03
16,7,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 52 min,25.579493,91.891891,,2026-08-22 07:32:18,2026-08-22 07:33:17,,
17,7,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 356 min,26.183741,91.752888,,2026-08-23 12:52:52,2026-08-23 12:56:37,,
18,8,anomaly,high,dispatched,AI anomaly: prolonged inactivity 249 min,26.10535,91.584885,11,2026-09-03 10:43:36,2026-09-03 10:44:32,2026-09-03 10:47:09,
19,8,anomaly,high,dispatched,AI anomaly: prolonged inactivity 285 min,26.577694,93.171116,17,2026-09-04 11:29:28,2026-09-04 11:32:09,2026-09-04 11:34:11,
20,8,geofence,critical,resolved,Restricted-zone entry: Kaziranga Core Zone,26.577694,93.171116,22,2026-09-04 11:29:28,2026-09-04 11:30:18,2026-09-04 11:31:51,2026-09-04 11:50:44
21,8,anomaly,high,detected,AI anomaly: prolonged inactivity 209 min,23.725941,92.716327,,2026-09-05 10:07:03,,,
22,9,anomaly,high,resolved,AI anomaly: prolonged inactivity 297 min,26.750717,94.204972,5,2026-08-18 11:35:20,2026-08-18 11:35:59,2026-08-18 11:38:27,2026-08-18 11:43:45
23,9,anomaly,high,resolved,AI anomaly: sudden location jump 6.2 km,26.786307,94.158017,19,2026-08-19 07:30:01,2026-08-19 07:31:49,2026-08-19 07:36:58,2026-08-19 08:04:07
24,9,anomaly,high,resolved,AI anomaly: prolonged inactivity 341 min,26.577132,93.17257,9,2026-08-20 12:31:10,2026-08-20 12:33:56,2026-08-20 12:43:04,2026-08-20 12:55:16
25,9,geofence,critical,resolved,Restricted-zone entry: Kaziranga Core Zone,26.577132,93.17257,1,2026-08-20 12:31:10,2026-08-20 12:33:14,2026-08-20 12:35:14,2026-08-20 12:52:44
26,9,anomaly,high,resolved,AI anomaly: prolonged inactivity 56 min,26.57668,93.172279,1,2026-08-21 07:32:31,2026-08-21 07:34:49,2026-08-21 07:36:00,2026-08-21 07:41:40
27,9,anomaly,high,dispatched,AI anomaly: prolonged inactivity 395 min,26.105824,91.584969,21,2026-08-22 13:29:14,2026-08-22 13:30:19,2026-08-22 13:35:33,
28,10,anomaly,high,detected,AI anomaly: prolonged inactivity 52 min,25.577742,91.894469,,2026-08-28 07:34:09,,,
