lat,lng,type,severity
26.140779,91.793151,anomaly,high
26.140265,91.792164,anomaly,high
26.120941,91.650065,geofence,critical
26.181947,91.75827,anomaly,high
26.177389,91.753573,anomaly,high
26.137362,91.805987,anomaly,high
26.183741,91.752888,anomaly,high
26.10535,91.584885,anomaly,high
26.105824,91.584969,anomaly,high
26.105476,91.58678,anomaly,high
26.187343,91.751441,anomaly,high
26.187058,91.755281,anomaly,high
26.185096,91.762057,geofence,critical
26.186765,91.748364,anomaly,high
26.104993,91.585999,anomaly,high
26.105569,91.585685,anomaly,high
26.18398,91.750561,anomaly,high
26.095213,91.606281,anomaly,high
26.105683,91.586475,anomaly,high
26.106466,91.586315,anomaly,high
26.189548,91.755799,anomaly,high
26.18925,91.755285,anomaly,high
26.185625,91.763103,geofence,critical
26.194051,91.748015,anomaly,high
26.185624,91.763083,geofence,critical
26.180666,91.743414,anomaly,high
26.183162,91.753315,anomaly,high
26.182983,91.752492,anomaly,high
26.173561,91.760377,anomaly,high
26.121014,91.820761,anomaly,high
26.184511,91.752353,anomaly,high
26.18319,91.752348,anomaly,high
26.184288,91.751637,anomaly,high
26.166818,91.769908,anomaly,high
26.120233,91.650074,geofence,critical
26.105531,91.583507,anomaly,high
26.183841,91.752368,anomaly,high
26.184169,91.751993,anomaly,high
26.107675,91.587317,anomaly,high
26.106356,91.58699,anomaly,high
26.107089,91.586927,anomaly,high
26.104531,91.583565,anomaly,high
26.104079,91.582343,sos,critical
26.181524,91.743154,anomaly,high
26.184899,91.762733,geofence,critical
26.180946,91.742502,anomaly,high
26.182388,91.745043,anomaly,high
26.182112,91.752124,anomaly,high
26.107708,91.585539,anomaly,high
26.105067,91.587725,anomaly,high
26.104867,91.586483,anomaly,high
26.097982,91.603627,anomaly,high
26.118732,91.65015,geofence,critical
26.177102,91.751741,anomaly,high
26.16631,91.564455,anomaly,high
26.179452,91.785616,anomaly,high
26.181652,91.745066,anomaly,high
26.176599,91.726559,anomaly,high
26.18528,91.763263,geofence,critical
26.184255,91.750098,anomaly,high
26.220609,91.785102,anomaly,high
26.186336,91.763197,geofence,critical
26.181176,91.752891,anomaly,high
26.183305,91.749465,anomaly,high
26.183514,91.749574,anomaly,high
26.183962,91.749994,anomaly,high
26.171657,91.720278,anomaly,high
26.106555,91.586684,anomaly,high
26.18669,91.750485,anomaly,high
26.179901,91.753812,anomaly,high
26.186185,91.751507,anomaly,high
26.190442,91.749174,anomaly,high
26.185039,91.748118,anomaly,high
26.166093,91.567126,anomaly,high
26.156569,91.784455,anomaly,high
26.138097,91.778727,anomaly,high
26.089582,91.590071,anomaly,high
26.176547,91.784778,anomaly,high
26.107492,91.586243,anomaly,high
26.107681,91.585633,anomaly,high
26.107892,91.586526,anomaly,high
26.106965,91.586017,anomaly,high
26.104943,91.586537,anomaly,high
26.104602,91.586933,anomaly,high
26.10475,91.586417,anomaly,high
26.185755,91.762105,geofence,critical
26.105634,91.586105,anomaly,high
26.105835,91.585723,missing_person,critical
26.185789,91.763897,geofence,critical
26.187258,91.753038,anomaly,high
26.139371,91.778676,anomaly,high
26.0955,91.606758,anomaly,high
26.12015,91.650148,geofence,critical
26.180179,91.785145,anomaly,high
26.092194,91.590208,anomaly,high
26.118802,91.649758,geofence,critical
26.150472,91.769743,anomaly,high
26.138401,91.778912,anomaly,high
26.185479,91.747595,anomaly,high
26.185788,91.74766,anomaly,high
26.183047,91.753443,anomaly,high
26.182897,91.753886,anomaly,high
26.183998,91.750341,anomaly,high
26.183534,91.750333,anomaly,high
26.184126,91.750499,anomaly,high
26.168064,91.768715,anomaly,high
26.173993,91.777847,geofence,critical
26.168699,91.776809,anomaly,high
26.183591,91.749341,anomaly,high
26.184623,91.749652,anomaly,high
26.10668,91.587717,anomaly,high
26.184665,91.750235,anomaly,high
26.184408,91.749965,anomaly,high
26.148094,91.772347,anomaly,high
26.180728,91.762093,geofence,critical
26.180931,91.762711,anomaly,high
26.167973,91.566669,anomaly,high
26.167799,91.566762,anomaly,high
26.120421,91.651026,geofence,critical
26.178639,91.785071,anomaly,high
26.178322,91.784824,anomaly,high
26.168337,91.767277,anomaly,high
26.107971,91.585146,anomaly,high
26.185134,91.762403,geofence,critical
26.176494,91.762199,geofence,critical
26.199092,91.601543,anomaly,high
26.158249,91.711925,anomaly,high
26.18796,91.747866,anomaly,high
26.184869,91.763562,geofence,critical
26.186892,91.745278,anomaly,high
26.18564,91.744127,anomaly,high
26.18641,91.763081,geofence,critical
26.182173,91.746275,anomaly,high
26.137749,91.712196,anomaly,high
26.179961,91.765429,geofence,critical
26.168535,91.564506,anomaly,high
26.191979,91.745824,anomaly,high
26.1844,91.751719,anomaly,high
26.183762,91.751944,anomaly,high
26.176127,91.753042,anomaly,high
26.169722,91.76153,sos,critical
26.18566,91.762451,geofence,critical
26.185386,91.755184,anomaly,high
26.176312,91.805129,anomaly,high
26.146132,91.785898,anomaly,high
26.177902,91.786289,anomaly,high
26.183187,91.741914,anomaly,high
26.174035,91.720791,anomaly,high
26.114654,91.635766,anomaly,high
26.120596,91.649489,geofence,critical
26.183951,91.751973,anomaly,high
26.178012,91.787381,anomaly,high
26.18384,91.753532,anomaly,high
26.183968,91.750644,anomaly,high
26.126862,91.799454,anomaly,high
26.176997,91.748283,anomaly,high
26.176559,91.74761,anomaly,high
26.160394,91.727157,anomaly,high
26.175709,91.747137,anomaly,high
26.175719,91.747273,anomaly,high
26.170162,91.746081,anomaly,high
26.178971,91.76702,anomaly,high
26.178971,91.76702,geofence,critical
26.186152,91.762793,geofence,critical
26.172245,91.722904,anomaly,high
26.189254,91.662225,anomaly,high
26.175835,91.749625,anomaly,high
26.104927,91.583898,anomaly,high
26.120831,91.650241,geofence,critical
26.176726,91.78638,anomaly,high
26.120752,91.649418,geofence,critical
26.178364,91.786757,anomaly,high
26.116932,91.817627,anomaly,high
26.187866,91.742826,anomaly,high
26.174596,91.777756,geofence,critical
26.106853,91.58425,anomaly,high
26.105811,91.584273,anomaly,high
26.105543,91.584534,anomaly,high
26.184948,91.762672,geofence,critical
26.176677,91.749018,anomaly,high
26.177172,91.749252,anomaly,high
26.177144,91.786088,anomaly,high
26.188617,91.749591,anomaly,high
26.185886,91.747998,anomaly,high
26.184368,91.76216,geofence,critical
26.18651,91.748358,anomaly,high
26.189098,91.748711,anomaly,high
26.166935,91.567725,anomaly,high
26.184732,91.750924,anomaly,high
26.184059,91.750789,anomaly,high
26.184447,91.75046,anomaly,high
26.187396,91.754916,anomaly,high
26.184794,91.752121,anomaly,high
26.184648,91.750234,anomaly,high
26.175929,91.753979,anomaly,high
26.158768,91.77751,anomaly,high
26.183457,91.752922,anomaly,high
26.183621,91.753204,anomaly,high
26.184777,91.751348,anomaly,high
26.091247,91.590054,anomaly,high
26.177031,91.784311,anomaly,high
26.18411,91.752244,anomaly,high
26.183604,91.760002,anomaly,high
26.185098,91.762057,geofence,critical
26.182687,91.755609,anomaly,high
26.180631,91.753028,anomaly,high
26.187188,91.746804,anomaly,high
26.189067,91.750836,anomaly,high
26.177616,91.769603,geofence,critical
26.145825,91.696797,anomaly,high
26.159715,91.782048,anomaly,high
26.158504,91.78206,anomaly,high
26.184414,91.749724,anomaly,high
26.183596,91.749041,anomaly,high
26.10617,91.586943,anomaly,high
26.10601,91.585987,anomaly,high
26.107702,91.586555,anomaly,high
26.138034,91.799238,anomaly,high
26.184399,91.75282,anomaly,high
26.224887,91.714391,anomaly,high
26.165105,91.768055,fall_detected,critical
26.106836,91.587073,anomaly,high
26.19504,91.745555,anomaly,high
26.097655,91.605934,anomaly,high
26.176037,91.78454,anomaly,high
26.156293,91.795595,anomaly,high
26.186028,91.740774,anomaly,high
26.105927,91.586883,anomaly,high
26.107063,91.587182,anomaly,high
26.107202,91.586773,anomaly,high
26.169141,91.769692,anomaly,high
26.097725,91.603529,anomaly,high
26.120701,91.649301,geofence,critical
26.211375,91.75102,anomaly,high
26.176755,91.784827,anomaly,high
26.121466,91.650477,geofence,critical
26.144459,91.791767,sos,critical
26.18747,91.748887,anomaly,high
26.185262,91.763538,geofence,critical
26.192819,91.749028,anomaly,high
26.161194,91.727469,anomaly,high
26.181577,91.752666,anomaly,high
26.178788,91.753959,anomaly,high
26.165518,91.568323,anomaly,high
26.165092,91.568586,anomaly,high
26.150331,91.785849,anomaly,high
26.178549,91.787836,anomaly,high
26.119603,91.648295,anomaly,high
26.120348,91.64984,geofence,critical
26.182626,91.753335,anomaly,high
26.106554,91.584533,anomaly,high
26.112728,91.634578,anomaly,high
26.119838,91.64874,geofence,critical
26.179066,91.788326,anomaly,high
26.180814,91.752766,anomaly,high
26.18034,91.753048,anomaly,high
26.1075,91.586096,anomaly,high
26.180439,91.744535,anomaly,high
26.180316,91.746129,anomaly,high
26.175753,91.777735,geofence,critical
26.17911,91.751914,anomaly,high
26.177481,91.799508,anomaly,high
26.104564,91.584742,anomaly,high
26.179834,91.786764,anomaly,high
26.121313,91.649014,geofence,critical
26.177545,91.787048,anomaly,high
26.176139,91.760447,anomaly,high
26.185859,91.748247,anomaly,high
26.183665,91.749884,anomaly,high
26.183649,91.749907,anomaly,high
26.170736,91.772608,anomaly,high
26.166816,91.567248,anomaly,high
26.113245,91.63526,anomaly,high
26.119335,91.649496,geofence,critical
26.175095,91.762549,anomaly,high
26.175095,91.762549,geofence,critical
26.105089,91.584976,anomaly,high
26.147446,91.781221,anomaly,high
26.174912,91.777798,geofence,critical
26.184664,91.750976,anomaly,high
26.184411,91.750948,anomaly,high
26.105494,91.584308,anomaly,high
26.145382,91.797014,anomaly,high
26.161789,91.727379,anomaly,high
26.106977,91.586944,anomaly,high
26.18183,91.768287,geofence,critical
26.181178,91.768151,anomaly,high
26.120618,91.649574,geofence,critical
26.111301,91.635035,anomaly,high
26.095598,91.605411,anomaly,high
26.119371,91.650011,geofence,critical
26.110899,91.636577,anomaly,high
26.176187,91.786302,anomaly,high
26.095861,91.604677,anomaly,high
26.119709,91.649826,geofence,critical
26.186484,91.744401,anomaly,high
26.174008,91.777592,geofence,critical
26.195512,91.744299,sos,critical
26.10764,91.587154,anomaly,high
26.182936,91.751983,anomaly,high
26.182939,91.752305,anomaly,high
26.107053,91.586829,anomaly,high
26.105853,91.584926,anomaly,high
26.183403,91.752636,anomaly,high
26.182952,91.753173,anomaly,high
26.172099,91.760449,sos,critical
26.183941,91.752536,anomaly,high
26.183961,91.753294,anomaly,high
26.175015,91.774215,geofence,critical
26.166369,91.565466,anomaly,high
26.181145,91.769656,anomaly,high
26.181145,91.769656,geofence,critical
26.183385,91.744047,anomaly,high
26.183272,91.741692,anomaly,high
26.184429,91.752764,anomaly,high
26.184363,91.7526,anomaly,high
26.119204,91.650828,geofence,critical
26.179838,91.786447,anomaly,high
26.184367,91.753729,anomaly,high
26.152998,91.784817,anomaly,high
26.107036,91.587037,anomaly,high
26.119529,91.649791,geofence,critical
26.09958,91.60282,anomaly,high
26.176244,91.788149,anomaly,high
26.12015,91.651006,geofence,critical
26.121576,91.652257,anomaly,high
26.18345,91.752728,anomaly,high
26.184139,91.752623,anomaly,high
26.164446,91.566527,anomaly,high
26.176843,91.785943,anomaly,high
26.111404,91.633849,anomaly,high
26.11949,91.65081,geofence,critical
26.105847,91.585141,anomaly,high
26.135638,91.785456,anomaly,high
26.106621,91.587932,anomaly,high
26.183995,91.751474,anomaly,high
26.184212,91.751998,anomaly,high
26.184111,91.752145,anomaly,high
26.184443,91.751277,anomaly,high
26.167408,91.844761,anomaly,high
26.186235,91.750803,anomaly,high
26.187362,91.750198,anomaly,high
26.181192,91.756327,anomaly,high
26.184567,91.762592,geofence,critical
26.183739,91.751979,anomaly,high
26.185846,91.763907,geofence,critical
26.187753,91.747829,anomaly,high
26.192401,91.747564,anomaly,high
26.147365,91.756568,anomaly,high
26.106773,91.587789,anomaly,high
26.181977,91.753624,anomaly,high
26.180964,91.753319,anomaly,high
26.164524,91.566184,anomaly,high
26.096833,91.604702,anomaly,high
26.11958,91.650591,geofence,critical
26.184218,91.750409,anomaly,high
26.183479,91.75346,anomaly,high
26.11987,91.649108,geofence,critical
26.179072,91.787469,anomaly,high
26.120701,91.649044,geofence,critical
26.111893,91.633859,anomaly,high
26.177146,91.78705,anomaly,high
26.181862,91.744594,anomaly,high
26.182488,91.751781,anomaly,high
26.185627,91.763019,geofence,critical
26.184004,91.751075,anomaly,high
26.17697,91.755015,anomaly,high
26.166001,91.56636,anomaly,high
26.183817,91.753391,anomaly,high
26.184194,91.752913,anomaly,high
26.1845,91.752502,anomaly,high
26.185736,91.762436,geofence,critical
26.177146,91.757473,anomaly,high
26.166508,91.565518,anomaly,high
26.1875,91.769317,anomaly,high
26.182587,91.745781,anomaly,high
26.10435,91.587129,anomaly,high
26.108018,91.585664,anomaly,high
26.107684,91.728534,anomaly,high
26.191951,91.74768,anomaly,high
26.18654,91.749737,anomaly,high
26.186024,91.763505,geofence,critical
26.16531,91.767501,anomaly,high
26.1042,91.585242,anomaly,high
26.219029,91.753401,anomaly,high
26.164195,91.745311,anomaly,high
26.105801,91.584561,anomaly,high
26.088221,91.589071,anomaly,high
26.172492,91.713318,anomaly,high
26.106443,91.58549,anomaly,high
26.184751,91.748039,anomaly,high
26.186313,91.750839,anomaly,high
26.181601,91.742798,anomaly,high
26.107081,91.587364,anomaly,high
26.106809,91.58792,anomaly,high
26.179345,91.783961,anomaly,high
26.180049,91.784568,anomaly,high
26.11913,91.650247,anomaly,high
26.12055,91.649031,geofence,critical
26.107792,91.587063,anomaly,high
26.098839,91.604998,anomaly,high
26.104922,91.586927,anomaly,high
26.105208,91.587587,anomaly,high
26.105411,91.587127,anomaly,high
26.184263,91.751154,anomaly,high
26.189094,91.751387,anomaly,high
26.105718,91.586155,anomaly,high
26.105229,91.586616,anomaly,high
26.106263,91.585694,anomaly,high
26.105861,91.587369,anomaly,high
26.167501,91.769703,anomaly,high
26.183356,91.752132,anomaly,high
26.184234,91.749363,anomaly,high
26.184351,91.749909,anomaly,high
26.178372,91.741618,anomaly,high
26.181423,91.74475,anomaly,high
26.18127,91.751012,anomaly,high
26.106771,91.585137,anomaly,high
26.18472,91.750284,anomaly,high
26.184581,91.749571,anomaly,high
26.180395,91.762169,geofence,critical
26.162413,91.784132,anomaly,high
26.16666,91.568501,anomaly,high
26.186429,91.74784,anomaly,high
26.105522,91.586945,anomaly,high
26.10613,91.586422,anomaly,high
26.091034,91.58766,anomaly,high
26.106025,91.587778,anomaly,high
26.181513,91.736644,sos,critical
26.147718,91.784625,anomaly,high
26.173019,91.762039,geofence,critical
26.105999,91.585838,anomaly,high
26.172557,91.755016,anomaly,high
26.090344,91.591497,anomaly,high
26.177825,91.751995,anomaly,high
26.166777,91.568838,anomaly,high
26.106793,91.586782,anomaly,high
26.184215,91.752554,anomaly,high
26.107949,91.587365,anomaly,high
26.127468,91.800613,anomaly,high
26.183576,91.753054,anomaly,high
26.183285,91.752813,anomaly,high
26.183271,91.748603,anomaly,high
26.184249,91.748924,anomaly,high
26.184674,91.752051,anomaly,high
26.184431,91.751336,anomaly,high
26.149354,91.787492,anomaly,high
26.181828,91.75023,sos,critical
26.18742,91.734321,anomaly,high
26.089198,91.589957,anomaly,high
26.08979,91.590805,anomaly,high
26.173484,91.722145,anomaly,high
26.150194,91.663057,anomaly,high
26.12048,91.649411,geofence,critical
26.17665,91.785001,anomaly,high
26.107875,91.587088,anomaly,high
26.107978,91.587173,anomaly,high
26.107983,91.587384,anomaly,high
26.104427,91.583594,anomaly,high
26.184091,91.744755,anomaly,high
26.164521,91.566533,anomaly,high
