speed_kmh,dist_from_prev_m,inactivity_min,dist_from_route_m,label,scenario,hour
0.24,31.0,33.0,33.3,0,overnight,0
0.45,28.6,40.0,30.3,0,overnight,6
26.44,5466.4,46.45,5443.2,1,route_deviation,13
0.4,25.3,25.0,34.4,0,overnight,1
1.06,63.5,14.0,6.8,0,dwell,16
1.23,28.1,7.0,31.1,0,dwell,14
0.44,30.4,26.0,39.7,0,overnight,18
0.47,17.8,23.0,12.3,0,overnight,0
0.38,46.2,6.0,30.0,0,dwell,15
0.09,13.6,22.0,17.7,0,overnight,23
1.05,21.4,46.0,388.4,1,prolonged_inactivity,15
0.32,55.7,37.0,38.4,0,overnight,0
0.07,20.6,31.0,20.8,0,overnight,11
0.32,45.7,30.0,37.6,0,overnight,17
0.4,55.5,22.0,23.9,0,overnight,23
1.16,2.5,8.0,141.7,0,dwell,14
6.98,190.0,3.0,78.8,0,normal,3
0.11,30.7,23.0,15.1,0,overnight,11
0.27,54.1,27.48,43.4,0,synthetic_normal,14
0.5,38.9,32.0,47.8,0,overnight,11
1.42,12.7,9.0,3.3,0,dwell,21
156.21,7054.3,0.1,2627.3,1,abduction_speed,13
0.28,20.5,29.0,24.1,0,overnight,10
0.18,14.2,21.0,34.2,0,overnight,10
0.16,22.4,21.0,35.4,0,overnight,11
0.24,44.8,34.0,17.9,0,overnight,8
0.26,45.1,21.0,27.8,0,overnight,3
0.7,60.0,11.0,111.6,0,dwell,13
0.06,100.5,29.0,50.8,0,overnight,14
1.58,37.9,14.0,180.9,0,dwell,14
1.03,27.2,7.0,167.2,0,dwell,15
0.01,57.3,36.0,38.0,0,overnight,10
0.12,30.2,8.07,261.7,0,synthetic_normal,8
0.37,76.9,39.0,43.1,0,overnight,9
0.0,20.1,85.63,1254.5,1,prolonged_inactivity,1
1.01,52.6,9.0,14.3,0,dwell,16
0.31,43.0,31.0,29.3,0,overnight,4
0.11,79.1,39.0,40.3,0,overnight,9
0.49,47.5,6.0,58.7,0,dwell,15
0.1,19.0,30.0,44.5,0,overnight,12
0.44,39.0,37.0,26.1,0,overnight,20
0.27,56.2,23.0,29.3,0,overnight,23
37.16,13854.5,138.68,5104.7,1,signal_loss_return,7
0.38,87.4,32.0,45.5,0,overnight,16
0.33,76.8,36.0,28.9,0,overnight,9
0.43,31.6,27.0,51.3,0,overnight,0
0.4,6.9,33.0,17.6,0,overnight,12
15.42,2660.2,17.43,13855.5,1,route_abandonment,11
0.4,46.8,27.0,41.5,0,overnight,18
22.35,1684.3,4.18,72.3,0,normal,21
0.49,33.0,22.0,28.3,0,overnight,2
0.27,18.6,33.0,29.1,0,overnight,8
1.22,65.1,9.0,32.0,0,dwell,13
0.24,4.0,32.0,39.3,0,overnight,12
0.47,26.3,34.0,32.1,0,overnight,1
0.27,5.3,37.0,37.8,0,overnight,10
0.03,70.7,39.0,49.9,0,overnight,8
1.01,24.3,9.0,69.7,0,dwell,14
0.22,46.8,33.0,15.8,0,overnight,11
0.09,37.0,22.0,8.9,0,overnight,9
0.19,28.6,32.0,28.6,0,overnight,8
0.12,39.8,20.0,25.4,0,overnight,3
0.28,33.0,23.0,48.7,0,overnight,1
0.26,39.9,21.0,6.8,0,overnight,21
0.19,30.4,40.0,50.6,0,overnight,18
4.78,64.6,5.28,136.0,0,normal,14
5.62,223.2,6.0,13.5,0,normal,14
0.36,66.0,27.0,34.2,0,overnight,11
0.06,32.6,33.0,20.1,0,overnight,18
0.42,44.8,8.0,174.8,0,dwell,14
0.07,49.1,40.0,34.3,0,overnight,22
0.07,68.7,31.0,42.4,0,overnight,6
0.3,7.6,40.0,29.5,0,overnight,23
0.3,47.4,26.0,26.6,0,overnight,23
0.07,47.5,31.0,21.4,0,overnight,12
0.07,20.2,20.0,17.1,0,overnight,8
1.2,23.1,7.0,29.7,0,dwell,21
0.25,84.8,31.0,42.4,0,overnight,22
0.49,42.2,31.0,17.7,0,overnight,3
0.35,76.0,39.0,33.4,0,overnight,16
46.6,130.7,8.66,370.0,0,synthetic_normal,9
0.04,49.2,40.0,42.6,0,overnight,17
0.36,41.4,29.0,49.3,0,overnight,12
0.0,62.9,22.0,25.3,0,overnight,3
0.39,21.8,34.0,9.8,0,overnight,0
15.24,615.3,4.42,96.0,0,normal,13
0.07,58.9,35.0,25.9,0,overnight,5
0.47,33.0,32.0,34.3,0,overnight,21
0.27,39.2,24.0,40.8,0,overnight,1
0.04,32.8,29.0,20.3,0,overnight,11
0.96,23.1,11.0,91.1,0,dwell,14
0.24,24.0,25.0,50.7,0,overnight,21
1.5,9.5,6.0,22.9,0,dwell,14
0.46,51.6,33.0,55.8,0,overnight,22
0.25,37.0,25.0,27.6,0,overnight,19
0.23,44.7,38.0,49.4,0,overnight,23
0.0,34.6,46.0,830.4,1,prolonged_inactivity,19
0.15,53.9,24.0,31.9,0,overnight,7
0.44,57.8,32.0,23.6,0,overnight,10
31.43,7817.1,6.57,2978.9,1,sudden_jump,20
1.04,12.1,13.0,17.6,0,dwell,19
0.16,63.9,33.0,33.7,0,overnight,20
27.26,1728.1,22.41,6712.5,1,route_abandonment,7
1.01,53.6,7.0,65.5,0,dwell,5
0.28,40.1,23.0,43.4,0,overnight,17
0.17,80.7,20.0,35.9,0,overnight,15
5.38,6463.0,2.75,85.2,0,normal,15
0.43,29.3,36.0,44.5,0,overnight,17
0.64,33.0,8.0,54.1,0,dwell,14
0.25,34.2,36.0,39.3,0,overnight,23
1.04,45.4,7.0,48.0,0,dwell,18
1.02,55.2,14.0,112.4,0,dwell,14
0.33,37.7,25.0,22.0,0,overnight,5
1.12,45.1,11.0,39.1,0,dwell,15
0.48,33.9,21.0,29.6,0,overnight,6
0.18,40.0,24.0,10.6,0,overnight,3
