zone_risk,hour,anomaly_score,crime_index,weather_risk,safety_score
79.7512,23,0.365998,63.7249,80.4563,29.7681
82.9767,19,0.123334,69.0146,9.0991,52.9423
77.3652,17,0.093207,64.6271,86.1502,43.1881
75.9538,19,0.406053,68.33,22.6616,44.5649
79.2803,8,0.209174,65.9381,64.9933,48.1802
83.1279,18,0.100823,66.7528,17.4994,48.9085
39.9648,23,0.077092,54.2868,77.7557,59.7111
95.9525,8,0.259552,74.5434,1.8444,38.6145
27.1692,15,0.184817,55.4222,14.1996,70.2964
49.8201,17,0.582013,35.4545,23.7145,66.2238
16.1445,15,0.024064,13.2004,41.8205,84.0695
48.9555,9,0.173558,43.1968,0.1814,69.8311
19.7123,3,0.024809,26.5049,28.5679,71.5202
77.964,20,0.229666,61.4683,9.1197,62.0007
98.9351,11,0.029716,87.7417,74.0259,30.0169
32.468,13,0.048738,66.4361,33.079,66.4601
15.4331,12,0.018868,54.1225,94.6973,70.8097
12.806,20,0.196927,87.0248,40.0922,58.1753
81.5078,22,0.338939,64.339,75.8495,29.2817
77.1897,1,0.077854,74.5556,46.8172,27.9858
60.0168,18,0.020983,47.1484,43.6841,67.3773
98.5718,16,0.171053,94.556,97.995,34.8463
104.4205,9,0.042891,77.5836,18.3407,37.649
45.637,18,0.097423,35.1436,77.3677,61.3229
2.3407,16,0.124826,88.3003,15.9483,68.3483
71.4222,4,0.220902,78.3737,19.8101,41.8541
78.3312,12,0.161484,65.702,31.6002,46.7453
95.5254,11,0.22993,80.5995,83.7429,33.0292
48.3252,19,0.02322,30.0027,68.0482,68.029
38.9014,12,0.444508,25.6277,96.2913,57.7189
49.7457,18,0.053109,48.7513,33.5461,65.1891
69.6376,2,0.325477,16.0859,96.7114,45.7831
101.8362,3,0.28697,75.9422,70.0336,30.3432
100.1348,0,0.014933,90.613,55.6509,32.4181
85.197,21,0.108023,50.8715,44.5141,52.6035
50.4724,13,0.080799,46.1456,75.1927,60.5169
47.5258,9,0.02437,55.649,18.4697,65.915
27.7444,8,0.255517,5.4065,34.21,78.4191
92.9148,16,0.074485,67.8473,26.916,49.5352
83.4101,2,0.084715,60.3114,36.6183,49.1249
26.6853,8,0.212429,7.0302,59.3382,84.978
17.0272,10,0.271564,12.9109,27.2117,74.8655
48.9291,20,0.336857,33.2069,63.9569,60.1782
103.17,9,0.218906,90.6466,95.539,29.4636
43.2567,14,0.132003,40.6806,36.477,75.8743
84.957,14,0.267471,62.3415,97.9959,38.9904
92.2804,11,0.094827,78.5735,29.436,44.628
75.3435,4,0.187864,69.8233,27.3991,41.5359
79.7982,19,0.066866,58.6734,62.112,53.2218
102.8443,10,0.020934,80.909,3.2881,48.805
16.4228,0,0.272419,27.1003,69.7537,63.2987
22.7178,14,0.17412,11.1915,43.9194,84.4927
102.0036,15,0.267752,91.416,20.4512,35.9758
101.7983,20,0.114279,80.7162,70.966,36.0294
76.631,22,0.210999,60.0885,44.3176,45.7772
79.9963,9,0.019665,65.6015,31.5869,52.8462
95.2176,23,0.099213,88.5444,86.0738,24.5913
53.4374,22,0.392051,41.7922,83.5447,50.0571
47.2926,16,0.522576,55.4005,1.1895,54.8596
24.5806,13,0.048127,20.4827,96.6351,76.6039
85.7442,13,0.252834,61.0071,86.358,41.6692
77.4347,20,0.185361,19.2405,92.6238,58.2961
24.3629,15,0.157667,27.5631,40.4131,67.7605
80.7664,7,0.40224,68.3164,66.4448,39.8272
7.5744,19,0.134365,91.3347,0.6125,72.2585
66.0072,17,0.049114,94.5188,42.3739,50.3143
54.9067,7,0.361449,39.8547,17.2466,56.0095
20.0071,5,0.215526,13.111,57.2778,62.7368
75.5001,23,0.101118,61.9755,29.2359,45.2223
46.8035,16,0.050352,69.0552,83.0111,62.2412
50.7068,5,0.117627,38.1642,38.4724,58.5875
46.7357,17,0.55846,5.5169,71.5026,66.2942
67.9992,14,0.514075,91.9121,38.9091,38.0541
8.2944,5,0.108385,26.366,44.3727,79.5033
87.7213,6,0.202588,40.8644,65.9301,47.6295
46.8208,1,0.089063,45.7801,33.7788,56.1468
68.2171,20,0.138889,37.2162,82.5749,65.7666
90.7566,1,0.010168,73.6292,54.597,39.7152
12.027,17,0.04786,5.8271,30.092,88.9029
81.9699,19,0.010614,68.7511,88.6117,46.3634
79.8108,21,0.880599,73.8019,14.558,28.4013
49.1182,23,0.465879,45.4886,70.2268,41.6904
73.6083,20,0.109547,33.0223,19.9284,59.1779
98.5193,17,0.204577,15.2446,43.3083,63.5924
54.979,8,0.276401,47.7687,6.6598,63.9464
66.5365,0,0.486274,47.6604,0.2226,44.1895
89.2162,13,0.158459,40.1014,55.8612,47.0553
46.0637,11,0.118274,12.6886,53.7326,71.1413
76.0411,1,0.337678,60.2068,42.6291,44.9114
84.224,18,0.160854,65.8517,14.1515,50.6504
19.4912,14,0.514471,74.7169,51.5333,60.3821
95.209,5,0.057544,79.2796,84.6572,29.5425
50.8383,13,0.066439,47.474,33.8042,69.1714
45.9699,8,0.105507,39.1859,29.9503,69.5939
95.0349,20,0.122951,94.1537,29.8835,38.5365
7.977,20,0.064397,90.3388,28.1821,67.6747
83.7265,7,0.314579,57.6504,22.5719,53.9408
28.5128,2,0.197179,28.5148,61.9241,64.6235
19.2889,19,0.297811,8.5721,73.4404,72.9986
103.4267,15,0.273329,69.6277,18.9231,35.8075
81.775,6,0.266675,32.9705,7.5147,52.7033
3.8425,22,0.235602,61.5913,6.6187,66.5423
47.984,0,0.117517,99.176,50.1572,43.2478
9.0729,6,0.041991,10.2852,40.2008,83.783
95.2686,15,0.218614,78.8218,91.6166,31.3841
13.0404,19,0.06904,61.9631,46.2784,74.3892
10.3593,2,0.311607,84.6795,37.5492,44.6655
18.1377,13,0.168374,18.35,10.0766,81.6522
81.8755,10,0.121615,61.691,20.4108,49.9599
77.8252,15,0.017465,19.1605,84.6838,61.545
72.7225,17,0.091165,30.1723,26.4317,58.1644
13.4357,6,0.226883,30.9906,47.2936,79.248
21.9518,9,0.105343,23.9422,97.171,76.1513
81.2685,21,0.070148,64.443,56.9513,41.95
82.1424,7,0.112227,65.4268,62.4532,49.2804
51.965,12,0.003696,38.8314,90.3,61.288
83.513,10,0.212591,65.0839,89.8351,41.5587
81.8816,8,0.194039,56.9085,84.8596,38.8762
15.6211,15,0.052093,20.8056,36.8805,83.6009
23.7019,16,0.546953,27.5634,26.8103,67.5597
52.2636,6,0.171821,39.6098,62.7845,59.774
67.321,21,0.040489,3.9211,12.0039,73.65
98.1031,5,0.286977,40.107,65.7944,35.1727
48.8615,9,0.199241,40.513,75.1886,62.2027
84.5742,9,0.12753,66.8517,80.853,49.6725
21.3516,3,0.109647,16.2439,68.7747,75.7479
20.2638,15,0.139922,34.5964,44.3122,78.0571
102.8539,0,0.230265,75.2883,93.9319,24.3488
96.5559,8,0.08965,84.4993,1.6802,49.9185
47.3726,19,0.010566,40.4719,14.5495,69.548
29.9818,2,0.070789,22.5276,87.6902,62.1518
76.9444,23,0.046702,56.0703,21.2926,47.635
97.241,20,0.030558,13.7903,67.0197,56.4233
103.1531,14,0.11548,84.2042,6.6506,46.8281
104.4397,17,0.205159,77.838,39.7062,36.0546
83.086,15,0.197994,65.0634,96.8025,36.9883
45.5001,9,0.215923,29.87,3.4343,61.845
82.6563,18,0.162725,65.2614,92.9143,45.7435
81.852,20,0.231716,59.5383,81.579,46.9438
44.3209,3,0.103274,72.7155,12.659,49.8014
1.2629,9,0.14043,20.4506,10.2246,100.0
58.9637,11,0.249163,72.1363,60.9749,51.0698
50.4312,0,0.127667,83.8034,4.4455,48.5445
98.6614,17,0.275133,78.3147,22.523,36.2569
7.0562,23,0.103319,74.7534,90.7777,58.3709
14.9569,15,0.201463,74.771,16.7794,68.8722
52.8836,13,0.051273,47.3955,99.6262,57.0943
95.6731,17,0.137657,91.152,13.2637,40.3551
95.1601,23,0.174188,85.487,0.0112,36.1683
20.3795,14,0.105363,22.015,92.9534,75.3186
17.166,0,0.282141,49.9783,14.6944,64.9067
77.3684,11,0.306443,59.3754,28.6421,46.698
27.6542,15,0.167252,33.2663,96.8737,66.9565
84.8867,4,0.128269,61.9035,17.4137,33.2313
54.001,23,0.254425,55.5533,75.9277,44.7531
38.3875,6,0.20536,26.34,69.583,65.851
5.6534,13,0.193082,99.131,69.3004,59.7707
85.406,20,0.361087,47.7906,66.431,47.8869
104.3516,10,0.344081,85.8899,13.3203,35.1821
78.929,17,0.21395,61.8901,66.7633,51.3932
24.4648,15,0.333269,24.9993,69.5546,72.7511
3.2165,4,0.295114,85.4434,58.8741,50.8486
20.1088,12,0.047322,33.582,65.0697,80.6379
79.4197,4,0.027129,80.0299,59.1569,33.9186
100.3784,23,0.025231,79.1649,90.2867,28.4417
22.1885,6,0.176509,70.0295,92.4211,65.3121
41.6883,9,0.103556,17.6131,99.489,69.8704
66.2189,22,0.224076,18.7131,59.9384,48.8509
52.4067,17,0.04939,45.4633,92.9708,63.8313
75.0092,19,0.287879,65.6962,93.375,43.8143
51.1886,9,0.078431,40.7496,17.489,66.4202
52.3367,12,0.125166,89.1251,76.4662,49.4067
24.0847,7,0.239778,73.1544,7.367,66.1234
79.651,20,0.180628,67.2355,41.7532,40.1116
75.8945,10,0.298967,56.7064,12.9934,55.0541
42.283,3,0.152345,37.0905,56.2825,50.704
70.2717,3,0.370555,82.7829,5.2576,40.5196
23.6803,10,0.050573,19.9173,56.1244,78.3448
48.7341,18,0.133672,45.0902,4.9281,63.554
94.5747,8,0.062344,74.0072,37.922,46.7072
81.9471,5,0.082003,70.6651,7.1107,43.7176
97.0477,1,0.018844,95.5547,68.2158,35.6499
26.1923,11,0.362996,40.5879,15.8183,65.3936
81.5581,7,0.215509,74.2107,70.0912,39.449
80.2765,0,0.160717,70.0544,98.4743,29.8717
78.1476,12,0.135875,64.196,84.5881,51.9161
16.3216,9,0.036426,17.2989,24.2699,87.1094
96.7755,18,0.269831,93.1957,17.904,34.7237
78.7518,19,0.20651,60.8001,75.4627,45.8057
95.2977,16,0.048498,89.0133,84.3601,33.0535
53.4519,2,0.21661,42.819,1.4904,53.4086
47.8207,4,0.030116,42.0525,74.0153,52.5728
44.9394,4,0.417456,58.1078,99.7461,34.9368
22.7046,14,0.457392,18.1475,92.5742,62.2222
24.2219,14,0.111453,17.0105,66.799,76.5416
55.3041,10,0.065101,85.1534,7.6559,57.4075
78.2084,12,0.182973,68.4365,29.8926,44.8457
104.4002,15,0.010078,87.7579,69.6803,35.3993
81.7784,6,0.253147,61.6297,9.0314,56.4096
47.5133,9,0.195605,67.0198,56.8553,57.0377
78.7567,18,0.062873,63.9492,82.2778,47.6169
80.7314,5,0.014162,63.8139,24.8914,44.6341
80.4234,1,0.523103,57.9727,62.2714,24.7549
48.0747,20,0.190756,56.1167,90.5355,58.0064
95.5858,3,0.213254,26.72,95.6699,39.5055
96.2024,5,0.251527,19.9606,2.7165,45.2379
77.481,0,0.169932,64.2165,18.1668,45.4458
89.5495,20,0.248424,74.6961,4.7186,38.2059
65.6045,11,0.211251,91.4783,72.3549,37.7675
100.1312,0,0.506082,87.8954,54.4019,18.5315
49.5112,19,0.091604,44.0507,26.0094,68.2801
60.2035,7,0.053625,9.3507,8.5951,80.2984
50.2611,18,0.148181,50.0997,69.4359,61.3229
18.008,12,0.214986,59.5273,84.8169,60.0367
101.7258,20,0.254719,83.4619,77.1517,37.1139
80.7632,10,0.191316,61.5471,80.1099,52.1463
96.9974,13,0.195789,77.4283,15.5257,47.2936
54.5747,18,0.007032,40.8213,56.586,71.5468
14.3788,15,0.146913,93.905,91.4356,61.5625
54.6279,3,0.130733,33.4206,44.0835,54.8709
69.3275,23,0.246985,62.9028,94.1989,34.5489
39.7716,20,0.121971,33.9545,80.2802,60.9993
20.7553,19,0.18508,87.5502,88.8549,58.6849
47.2181,18,0.115181,40.3116,76.9877,62.4389
95.0067,7,0.154981,73.0423,66.8234,43.7961
95.636,0,0.237327,96.5597,21.1776,28.4222
99.5661,22,0.412446,78.7814,81.0746,22.4455
80.5992,0,0.080825,52.8038,96.8026,46.4231
78.8127,20,0.156871,66.0732,12.0403,55.4907
15.2398,20,0.099907,17.0244,97.2071,79.9771
38.4046,17,0.453114,90.7529,17.6518,46.7389
49.3921,6,0.677806,53.426,96.131,35.4322
87.7861,13,0.185471,44.5247,39.7133,46.838
81.9415,18,0.159581,71.0605,2.3446,50.2122
90.998,23,0.113161,76.1558,66.8983,33.4798
53.9912,1,0.281465,99.5666,10.1503,40.2481
83.7108,20,0.130012,57.3949,32.7055,53.6115
7.2648,0,0.248611,92.4223,7.1153,56.572
22.1105,15,0.193401,71.0676,27.725,66.1498
95.5066,1,0.132662,70.427,75.2099,27.9033
46.697,17,0.031771,51.4499,79.2647,53.7886
79.0954,23,0.109876,72.2323,41.0306,41.3136
21.9664,15,0.129354,82.4215,38.3266,68.2795
75.4435,18,0.06628,63.7264,15.6133,63.4817
53.3895,18,0.036656,43.7324,0.6714,71.7621
99.3421,4,0.128891,95.496,97.6526,24.9549
11.1148,16,0.097996,25.483,91.1649,76.1341
74.2602,6,0.026567,5.1531,26.3153,71.6372
78.4332,4,0.094053,64.3037,92.0603,40.0563
100.5831,13,0.084466,83.7914,36.9114,38.1313
41.8897,13,0.363575,80.6505,9.275,52.0846
24.005,14,0.434495,20.711,19.6693,73.917
81.0793,16,0.080752,67.3602,28.3596,53.0987
19.6295,17,0.320871,20.9456,93.2119,64.8389
72.6188,11,0.289407,93.4791,58.8185,45.3682
26.3753,17,0.21822,0.1636,90.2066,77.3361
59.2185,10,0.380521,3.9088,58.3047,61.7999
3.4591,0,0.056751,49.6126,69.7381,70.5042
48.9493,14,0.291907,29.5134,79.9785,54.0809
9.3267,9,0.40416,6.4459,1.2569,85.8548
33.1529,19,0.290161,62.8641,92.6391,55.849
16.2121,13,0.334583,93.6977,55.4748,55.0934
99.7809,6,0.406213,16.0076,35.2738,47.273
77.7956,19,0.042452,64.9885,37.135,46.7961
68.5232,0,0.065805,88.1197,69.5429,34.6711
96.6546,16,0.121393,78.7421,42.7482,44.9548
85.9325,14,0.230122,73.8912,2.2756,47.6619
101.2764,3,0.176107,79.7844,33.6173,30.9245
84.0732,10,0.168551,70.9058,56.1432,44.2172
82.7786,0,0.263451,64.0009,42.5143,39.3018
83.4877,17,0.114842,67.6142,67.8705,39.8515
84.6007,21,0.055239,56.1774,50.7109,51.9855
79.9057,23,0.203798,57.8095,52.8752,43.0312
49.6511,12,0.214739,39.2535,36.1009,67.9346
54.7596,16,0.071762,57.3252,25.2477,57.8257
24.063,9,0.049701,36.9421,10.1185,76.8471
82.0413,10,0.122648,71.2802,59.5211,45.453
49.7619,16,0.001038,46.4329,29.0691,62.7105
75.4284,18,0.166632,66.9598,72.9824,47.5111
77.2502,14,0.057687,59.6117,0.0761,59.2203
76.9431,13,0.193574,65.8456,58.3441,49.1143
102.462,5,0.046158,88.0852,27.6085,36.3268
20.9688,14,0.355458,59.2507,61.0525,59.4409
6.8632,10,0.249713,47.4874,12.4937,73.4541
68.301,13,0.32885,36.6235,24.7553,55.2321
102.4483,7,0.469733,74.0977,58.249,27.2384
99.58,12,0.169825,84.1893,89.0778,29.025
78.4954,0,0.045991,93.1698,2.6217,41.1088
78.0136,15,0.163515,65.6008,85.1017,49.4702
30.367,1,0.050873,89.8594,36.0511,54.5391
35.9099,18,0.418102,73.4989,40.142,60.6499
54.1268,18,0.487983,40.7655,10.4163,52.2721
98.2142,10,0.183766,84.6652,84.8409,34.3406
26.065,0,0.221838,70.2654,37.9683,49.019
89.822,5,0.010077,43.76,88.1649,44.8006
82.6826,12,0.11117,65.2142,76.8869,44.9658
11.7808,16,0.045921,9.9104,52.3375,79.2286
19.8448,21,0.256497,15.9902,93.5406,70.4902
8.6963,16,0.436599,77.7392,61.9923,63.6586
77.095,16,0.258092,52.45,46.9074,52.3004
51.9554,18,0.137075,46.9234,0.3528,65.6319
30.8343,1,0.038569,43.1914,51.9507,66.5314
0.6757,16,0.197634,33.0468,21.5034,77.7543
0.9861,11,0.19201,8.5939,62.2836,83.0756
87.2197,12,0.128905,49.5495,49.8965,51.5965
52.1552,4,0.20271,45.2388,11.495,51.5513
16.6103,5,0.487166,19.0875,53.6187,65.8575
84.5607,21,0.179819,73.422,75.2628,39.9435
81.2014,3,0.115622,60.579,99.7449,43.7065
53.9518,13,0.255484,67.0478,43.2091,56.9372
48.1066,1,0.206414,53.3094,4.6543,64.1999
79.0241,2,0.072294,52.7323,22.5195,51.6707
57.2591,16,0.344023,9.4262,71.4462,65.0452
26.4563,1,0.123687,65.6339,54.5959,54.055
33.3526,17,0.256725,30.4677,66.8555,67.0468
9.7262,22,0.186375,51.9702,76.2119,64.51
50.4143,21,0.158731,39.7008,62.9333,73.6474
53.0315,14,0.224862,49.1147,21.2607,69.1177
77.9387,13,0.123874,60.8499,15.6612,60.4975
78.4032,9,0.047032,56.3812,54.8987,57.2716
34.395,18,0.010783,70.8767,86.1651,56.6229
41.897,10,0.330867,86.1355,72.2358,48.4403
48.9089,17,0.026825,30.8171,48.9277,75.6285
80.7187,18,0.177211,68.7446,97.7949,39.3915
83.693,0,0.091118,64.4917,14.7212,46.6139
91.8988,5,0.358076,42.9303,61.7296,39.0458
99.3085,10,0.238488,46.2608,70.6236,40.9912
46.7291,6,0.690495,84.1911,1.252,48.9785
12.4442,23,0.058501,84.9081,3.1534,62.3995
51.0582,15,0.116762,18.8001,62.9869,68.5332
52.9924,9,0.121013,44.2301,6.9001,64.5818
84.6437,11,0.196561,62.0572,56.0438,50.0171
96.5675,3,0.271579,90.6217,56.0412,29.1421
49.5016,22,0.074611,34.6538,45.6676,56.6415
96.8354,8,0.519286,99.9753,99.9306,17.0482
31.0503,5,0.14732,34.8931,35.9397,68.7131
102.4689,23,0.134827,84.5177,91.5191,25.3256
20.1431,9,0.330097,12.9116,93.952,69.7196
16.0792,11,0.119184,44.5431,83.1797,67.2831
93.2989,21,0.034324,93.4488,76.9544,37.6642
104.0494,16,0.101213,83.9019,16.4931,43.6187
49.5129,9,0.078336,41.2527,23.2769,63.4534
46.6799,22,0.128549,37.8193,57.5399,51.893
23.0891,3,0.050059,21.0414,93.0451,72.4795
77.6384,11,0.345525,55.8328,23.5681,53.1973
78.8555,9,0.194241,59.6917,95.2075,48.9
52.9268,11,0.299863,40.183,65.1541,61.2458
23.844,15,0.0348,67.1093,37.1155,70.9539
88.9635,0,0.227331,9.5219,44.9041,45.2808
99.8919,16,0.221463,84.0757,84.6586,32.7261
77.5129,10,0.253505,54.9614,81.5074,44.2513
82.6404,6,0.118689,68.3542,83.0224,41.5249
59.1549,5,0.260463,92.6209,8.3977,44.3579
98.5473,22,0.012784,54.0081,81.9797,40.8595
52.1038,2,0.346017,73.6516,19.3699,43.3903
75.2663,20,0.286599,73.3373,28.1088,48.7349
82.241,19,0.012253,58.3102,43.9115,57.6094
38.0244,16,0.268586,82.5481,75.9322,53.1689
87.23,13,0.022058,81.7876,24.1532,47.6779
81.3574,20,0.065086,61.4824,27.8574,53.3217
62.5033,7,0.263796,99.8876,79.4368,32.9808
45.6211,12,0.15152,41.4729,37.7369,69.9426
81.0382,10,0.069852,8.9181,45.4028,64.9294
45.9275,13,0.012865,42.0529,46.7233,75.7702
74.3867,18,0.200024,48.8652,44.3852,45.8004
84.7306,20,0.287238,62.8759,7.0462,52.3118
49.3535,21,0.125764,88.9278,68.6564,50.1116
41.9759,5,0.253401,2.2699,65.4259,54.3798
43.9029,7,0.263662,72.3152,80.0733,49.0832
94.7532,21,0.196947,76.4343,69.2121,35.6796
83.0561,6,0.041448,60.6619,69.2668,53.6343
17.7942,14,0.10097,16.1037,33.8684,80.0771
5.8526,17,0.129782,15.21,70.7119,82.8765
70.4514,2,0.202627,84.1292,75.1096,36.0388
77.1014,23,0.039301,79.4501,79.8297,34.3037
66.6417,6,0.090073,16.8307,6.1063,69.6381
87.7894,9,0.161463,88.2226,68.8627,38.5156
99.6185,17,0.025689,86.0357,13.7358,50.5815
81.3262,1,0.202261,60.4771,65.456,40.8547
20.13,17,0.47657,14.0494,61.0324,67.1042
99.31,8,0.371713,71.4794,88.1772,30.5424
100.2913,14,0.077129,87.0933,70.6894,44.3266
84.7348,23,0.20906,91.0368,38.3858,32.8852
96.415,8,0.024287,77.2391,16.3122,50.8903
23.6765,11,0.025913,29.2989,77.1169,73.009
73.676,4,0.097338,96.0593,20.4424,44.4551
95.5086,13,0.381881,69.8231,33.3136,32.0234
68.6379,16,0.248937,11.1842,83.6863,64.7331
84.2978,0,0.093242,55.4466,82.9279,42.747
60.698,23,0.266522,89.5235,25.0503,34.3399
83.4816,18,0.043469,71.8472,26.6917,48.174
82.5103,20,0.392478,71.9606,86.276,37.8141
79.1306,13,0.239143,61.8154,52.1837,52.183
30.7336,17,0.535878,4.6207,12.6034,81.9137
101.8115,12,0.070927,92.2171,5.3637,41.4379
49.7159,22,0.205551,96.053,58.0911,42.1732
31.9978,15,0.097821,87.4732,90.7259,58.0088
80.4105,16,0.073393,64.7926,15.1895,62.355
80.7149,12,0.106127,54.159,52.4024,52.3283
97.4408,20,0.136891,82.4026,67.5582,33.166
75.2332,4,0.202033,64.2761,8.4148,38.4059
26.2856,23,0.347733,0.129,96.016,61.5013
23.8063,5,0.32593,23.2331,39.3654,72.568
45.3704,8,0.144429,7.4533,25.3382,71.88
84.0437,13,0.209635,91.0032,13.8614,37.0204
2.591,23,0.012878,15.0268,24.6342,89.1209
80.9848,7,0.100104,62.8636,11.9063,57.3856
63.3763,7,0.272025,60.7034,39.1171,55.7165
80.6374,4,0.090474,55.9046,29.3409,45.252
100.0928,17,0.082762,77.3028,76.3364,31.4421
5.1333,14,0.059191,4.0623,91.9914,86.5643
55.4116,19,0.023183,31.048,79.1056,69.6808
76.9996,22,0.351281,56.5983,51.867,40.9759
79.4428,16,0.025763,56.7978,17.4974,59.0354
80.6404,11,0.089447,69.726,50.4996,51.4687
26.7299,14,0.051324,41.4217,84.3959,65.5444
53.1125,13,0.152519,35.5353,41.1675,62.3644
21.6597,14,0.246933,23.6596,79.0477,70.1543
96.0872,20,0.08363,87.2687,51.8059,46.2569
81.5038,5,0.308836,60.7538,11.9141,44.6986
50.3014,23,0.04366,94.2309,50.6039,47.0755
81.8256,23,0.262237,28.605,41.786,54.3119
100.5117,5,0.396925,93.5515,92.213,18.3358
25.151,2,0.005261,60.4361,9.2485,69.8048
