id,name,station,phone,lat,lng,available
1,Unit Alpha-1,Dispur Police Station,0361-2261510,26.1414,91.7898,1
2,Unit Alpha-2,Basistha Police Station,0361-2302213,26.1116,91.7995,1
3,Unit Bravo-1,Panbazar Police Station,0361-2540126,26.1855,91.7458,1
4,Unit Bravo-2,Paltan Bazar Police Station,0361-2540106,26.1817,91.7503,1
5,Unit Bravo-3,Latasil Police Station,0361-2544144,26.1868,91.759,0
6,Unit Charlie-1,Chandmari Police Station,0361-2660204,26.1828,91.7745,0
7,Unit Charlie-2,Geetanagar Police Station,0361-2266066,26.1712,91.78,1
8,Unit Charlie-3,Noonmati Police Station,0361-2551100,26.1777,91.806,1
9,Unit Delta-1,Bharalumukh Police Station,0361-2731199,26.1706,91.7357,1
10,Unit Delta-2,Fatasil Ambari Police Station,0361-2470100,26.156,91.742,1
11,Unit Delta-3,Jalukbari Police Station,0361-2570100,26.152,91.666,1
12,Unit Echo-1,Gorchuk Police Station,0361-2843100,26.108,91.716,1
13,Unit Echo-2,Azara Police Station,0361-2840100,26.113,91.611,1
14,Unit Echo-3,Airport Police Outpost,0361-2840119,26.108,91.587,1
15,Unit Foxtrot-1,Hatigaon Police Station,0361-2229100,26.136,91.788,1
16,Unit Foxtrot-2,Bhangagarh Police Station,0361-2529100,26.15,91.77,1
17,Unit Foxtrot-3,Satgaon Police Station,0361-2550100,26.183,91.825,1
18,Unit Golf-1,Pragjyotishpur Police Station,0361-2550190,26.16,91.69,1
19,Unit Golf-2,North Guwahati Police Station,0361-2690100,26.198,91.69,1
20,Unit Hotel-1,"All Women Police Station, Panbazar",0361-2524627,26.185,91.746,0
21,Unit Hotel-2,Khanapara Traffic Outpost,0361-2360100,26.118,91.818,1
22,Unit India-1,"Tourist Assistance Post, Kamakhya",0361-2734100,26.1664,91.7055,1
