id,date,location,lat,lng,condition,owm_condition_id,temp_c,wind_speed_ms,humidity_pct,rainfall_mm,weather_risk
1,2026-07-22,Kamakhya Temple,26.1664,91.7055,few clouds,801,30.3,3.6,62,0.0,10.0
2,2026-07-22,Umananda Island,26.1964,91.7453,overcast clouds,804,23.4,5.1,89,47.4,10.0
3,2026-07-22,Navagraha Temple,26.1749,91.7789,fog,741,22.5,1.0,55,0.0,45.0
4,2026-07-22,Basistha Temple,26.1132,91.797,moderate rain,501,26.6,3.0,89,74.5,30.0
5,2026-07-22,Guwahati Railway Station,26.1824,91.7513,heavy rain,502,19.2,1.2,94,61.6,60.0
6,2026-07-22,LGB International Airport,26.1061,91.5859,thunderstorm with heavy rain,202,26.5,5.4,81,23.4,80.0
7,2026-07-22,Paltan Bazaar,26.1817,91.7503,mist,701,34.7,1.8,70,44.9,45.0
8,2026-07-22,Fancy Bazaar,26.1836,91.7434,overcast clouds,804,33.3,0.6,79,49.8,10.0
9,2026-07-22,Pan Bazaar,26.1856,91.7455,light drizzle,300,22.6,2.0,70,0.0,20.0
10,2026-07-22,Uzan Bazar Ghat,26.19,91.759,scattered clouds,802,19.6,11.4,52,19.7,20.0
11,2026-07-22,Brahmaputra Riverfront,26.1905,91.748,overcast clouds,804,34.4,5.9,83,40.6,10.0
12,2026-07-22,Dighalipukhuri,26.1861,91.7503,snow,601,14.9,4.6,45,5.9,50.0
13,2026-07-22,Nehru Park,26.1857,91.7477,very heavy rain,503,34.9,8.2,93,14.2,60.0
14,2026-07-22,Assam State Museum,26.1857,91.7481,scattered clouds,802,23.0,7.8,91,29.0,10.0
15,2026-07-22,Assam State Zoo & Botanical Garden,26.178,91.786,mist,701,33.9,3.2,56,6.2,45.0
16,2026-07-22,Srimanta Sankaradeva Kalakshetra,26.144,91.8058,heavy rain,502,31.2,3.4,57,0.0,60.0
17,2026-07-22,Guwahati Planetarium,26.1856,91.7625,overcast clouds,804,21.8,3.8,94,67.5,10.0
18,2026-07-22,"Gandhi Mandap, Sarania Hill",26.175,91.758,heavy rain,502,25.6,0.4,68,18.9,60.0
19,2026-07-22,Nilachal Ropeway Terminal,26.188,91.744,mist,701,24.3,4.8,48,19.9,45.0
20,2026-07-22,Dispur Secretariat,26.142,91.79,few clouds,801,27.0,7.4,93,0.0,10.0
21,2026-07-22,Ganeshguri Junction,26.147,91.79,moderate rain,501,33.2,6.6,80,33.6,30.0
22,2026-07-22,Six Mile,26.135,91.805,heavy rain,502,39.2,6.7,93,5.2,60.0
23,2026-07-22,Beltola Bazaar,26.129,91.8,thunderstorm,200,32.1,4.3,87,2.2,80.0
24,2026-07-22,Zoo Road Tiniali,26.165,91.78,moderate rain,501,30.6,0.9,66,30.3,30.0
25,2026-07-22,Chandmari,26.183,91.772,clear sky,800,25.8,0.3,45,49.9,5.0
26,2026-07-22,Silpukhuri,26.188,91.766,light drizzle,300,36.2,5.3,49,0.0,20.0
27,2026-07-22,Bharalumukh,26.17,91.735,moderate rain,501,33.7,2.9,79,57.4,30.0
28,2026-07-22,Rehabari,26.175,91.748,heavy rain,502,19.4,8.7,96,25.5,60.0
29,2026-07-22,Bhangagarh,26.15,91.77,light rain,500,32.1,7.2,67,0.0,30.0
30,2026-07-22,Hatigaon,26.136,91.788,thunderstorm,200,21.3,5.1,51,0.0,80.0
31,2026-07-22,Kahilipara,26.133,91.762,few clouds,801,19.1,2.8,51,18.1,10.0
32,2026-07-22,Maligaon,26.158,91.679,moderate rain,501,24.4,5.4,60,27.5,30.0
33,2026-07-22,Jalukbari,26.152,91.665,mist,701,32.1,8.4,80,47.7,45.0
34,2026-07-22,Gauhati University,26.152,91.665,moderate rain,501,30.2,6.0,93,19.0,30.0
35,2026-07-22,IIT Guwahati,26.19,91.695,mist,701,33.0,5.2,58,53.6,45.0
36,2026-07-22,Guwahati Medical College,26.155,91.7,overcast clouds,804,33.0,1.4,95,18.3,10.0
37,2026-07-22,Saraighat Bridge,26.1889,91.67,thunderstorm,200,35.5,2.5,91,49.8,80.0
38,2026-07-22,North Guwahati Ghat,26.198,91.69,thunderstorm,200,30.4,3.4,48,35.3,80.0
39,2026-07-22,Amingaon,26.19,91.66,heavy rain,502,25.8,1.3,48,45.1,60.0
40,2026-07-22,Noonmati,26.178,91.806,fog,741,26.3,4.6,77,16.3,45.0
41,2026-07-22,Narengi,26.175,91.84,few clouds,801,34.2,5.1,88,34.4,10.0
42,2026-07-22,Khanapara,26.118,91.818,fog,741,22.0,1.2,47,4.1,45.0
43,2026-07-22,Lokhra,26.105,91.735,heavy rain,502,31.2,0.0,78,10.1,60.0
44,2026-07-22,Deepor Beel Wildlife Sanctuary,26.12,91.65,very heavy rain,503,26.5,5.6,53,36.1,60.0
45,2026-07-22,Sualkuchi Silk Village,26.1667,91.5667,very heavy rain,503,32.1,2.7,93,21.1,60.0
46,2026-07-22,Hajo Pilgrimage Town,26.25,91.5167,heavy rain,502,25.9,3.3,79,13.6,60.0
47,2026-07-22,Madan Kamdev Ruins,26.3667,91.6333,overcast clouds,804,39.6,2.8,49,35.4,10.0
48,2026-07-22,Chandubi Lake,25.9333,91.4333,overcast clouds,804,31.9,1.5,84,0.0,10.0
49,2026-07-22,Accoland Water Park,26.09,91.59,haze,721,22.3,4.8,87,26.6,45.0
50,2026-07-22,Pobitora Wildlife Sanctuary,26.2333,92.0833,very heavy rain,503,30.5,1.2,52,13.0,60.0
51,2026-07-22,Shillong,25.5788,91.8933,mist,701,25.1,3.4,63,0.0,45.0
52,2026-07-22,Umiam Lake,25.657,91.889,overcast clouds,804,25.4,0.6,76,3.4,10.0
53,2026-07-22,Cherrapunji (Sohra),25.2912,91.6783,light drizzle,300,27.1,4.3,85,0.2,20.0
54,2026-07-22,Nohkalikai Falls,25.276,91.6857,clear sky,800,28.9,4.6,61,0.0,5.0
55,2026-07-22,"Living Root Bridge, Nongriat",25.247,91.715,overcast clouds,804,30.8,0.9,80,27.9,10.0
56,2026-07-22,Mawlynnong Village,25.2,91.9167,mist,701,33.2,3.6,98,0.2,45.0
57,2026-07-22,Dawki / Umngot River,25.19,92.02,light rain,500,26.3,0.5,47,0.0,30.0
58,2026-07-22,Kaziranga National Park,26.5775,93.1711,thunderstorm with heavy rain,202,34.9,9.5,58,0.0,80.0
59,2026-07-22,Nameri National Park,26.92,92.88,very heavy rain,503,24.0,2.1,80,37.1,60.0
60,2026-07-22,Manas National Park,26.7,91.0,heavy rain,502,34.5,1.5,55,65.6,60.0
61,2026-07-22,Tezpur,26.6338,92.8,haze,721,18.4,5.8,46,42.4,45.0
62,2026-07-22,Majuli River Island,26.95,94.17,thunderstorm,200,21.7,9.7,92,37.6,80.0
63,2026-07-22,Jorhat,26.7509,94.2037,thunderstorm with heavy rain,202,36.7,2.9,51,12.8,80.0
64,2026-07-22,Sivasagar,26.9826,94.6425,moderate rain,501,31.5,4.1,67,71.2,30.0
65,2026-07-22,Dibrugarh,27.4728,94.912,light drizzle,300,24.6,4.1,46,4.5,20.0
66,2026-07-22,Digboi Oil Heritage,27.3931,95.6186,light drizzle,300,35.8,0.9,67,36.2,20.0
67,2026-07-22,Haflong,25.1667,93.0167,heavy rain,502,36.3,3.3,79,15.1,60.0
68,2026-07-22,Tawang Monastery,27.5861,91.8594,mist,701,27.5,4.1,61,50.9,45.0
69,2026-07-22,Ziro Valley,27.5448,93.832,few clouds,801,25.4,1.2,95,4.7,10.0
70,2026-07-22,Gangtok,27.3314,88.6138,moderate rain,501,23.1,7.3,61,39.6,30.0
71,2026-07-22,Kohima,25.6751,94.1086,few clouds,801,30.4,0.2,96,0.0,10.0
72,2026-07-22,Dzukou Valley,25.5833,94.05,thunderstorm,200,25.7,2.4,49,0.0,80.0
73,2026-07-22,Imphal,24.817,93.9368,fog,741,24.7,7.2,87,41.0,45.0
74,2026-07-22,Loktak Lake,24.5333,93.8167,light drizzle,300,26.1,0.4,70,41.9,20.0
75,2026-07-22,Aizawl,23.7271,92.7176,very heavy rain,503,26.9,1.7,87,53.0,60.0
76,2026-07-22,Agartala,23.8315,91.2868,fog,741,24.8,1.8,80,4.0,45.0
77,2026-07-23,Kamakhya Temple,26.1664,91.7055,thunderstorm with heavy rain,202,31.2,2.8,95,0.0,80.0
78,2026-07-23,Umananda Island,26.1964,91.7453,moderate rain,501,24.8,1.4,75,24.2,30.0
79,2026-07-23,Navagraha Temple,26.1749,91.7789,thunderstorm with heavy rain,202,26.0,8.2,87,43.9,80.0
80,2026-07-23,Basistha Temple,26.1132,91.797,heavy rain,502,23.3,5.3,93,57.7,60.0
81,2026-07-23,Guwahati Railway Station,26.1824,91.7513,light drizzle,300,36.4,1.5,54,36.5,20.0
82,2026-07-23,LGB International Airport,26.1061,91.5859,moderate rain,501,29.1,3.8,71,10.1,30.0
83,2026-07-23,Paltan Bazaar,26.1817,91.7503,mist,701,24.4,0.7,69,0.0,45.0
84,2026-07-23,Fancy Bazaar,26.1836,91.7434,very heavy rain,503,36.3,3.6,94,19.5,60.0
85,2026-07-23,Pan Bazaar,26.1856,91.7455,mist,701,24.5,3.9,96,47.2,45.0
86,2026-07-23,Uzan Bazar Ghat,26.19,91.759,few clouds,801,28.0,2.6,74,66.6,10.0
87,2026-07-23,Brahmaputra Riverfront,26.1905,91.748,scattered clouds,802,29.4,0.1,80,0.0,10.0
88,2026-07-23,Dighalipukhuri,26.1861,91.7503,mist,701,21.9,0.6,77,0.0,45.0
89,2026-07-23,Nehru Park,26.1857,91.7477,light rain,500,25.0,6.2,55,16.9,30.0
90,2026-07-23,Assam State Museum,26.1857,91.7481,light drizzle,300,28.1,0.1,94,53.6,20.0
91,2026-07-23,Assam State Zoo & Botanical Garden,26.178,91.786,thunderstorm,200,28.4,1.3,73,36.1,80.0
92,2026-07-23,Srimanta Sankaradeva Kalakshetra,26.144,91.8058,light drizzle,300,25.4,4.7,53,46.2,20.0
93,2026-07-23,Guwahati Planetarium,26.1856,91.7625,overcast clouds,804,29.9,2.2,58,41.5,10.0
94,2026-07-23,"Gandhi Mandap, Sarania Hill",26.175,91.758,moderate rain,501,25.1,4.7,71,26.6,30.0
95,2026-07-23,Nilachal Ropeway Terminal,26.188,91.744,light rain,500,16.0,4.4,46,44.5,30.0
96,2026-07-23,Dispur Secretariat,26.142,91.79,light rain,500,32.7,0.5,93,18.9,30.0
97,2026-07-23,Ganeshguri Junction,26.147,91.79,light rain,500,22.0,7.9,79,17.5,30.0
98,2026-07-23,Six Mile,26.135,91.805,heavy rain,502,28.6,0.3,72,35.3,60.0
99,2026-07-23,Beltola Bazaar,26.129,91.8,moderate rain,501,32.8,0.1,96,5.6,30.0
100,2026-07-23,Zoo Road Tiniali,26.165,91.78,moderate rain,501,32.9,4.5,46,43.1,30.0
101,2026-07-23,Chandmari,26.183,91.772,fog,741,24.0,0.2,50,9.6,45.0
102,2026-07-23,Silpukhuri,26.188,91.766,moderate rain,501,32.6,2.2,58,25.6,30.0
103,2026-07-23,Bharalumukh,26.17,91.735,moderate rain,501,36.8,0.3,62,18.6,30.0
104,2026-07-23,Rehabari,26.175,91.748,light drizzle,300,28.9,2.2,79,20.4,20.0
105,2026-07-23,Bhangagarh,26.15,91.77,few clouds,801,26.9,5.5,49,25.1,10.0
106,2026-07-23,Hatigaon,26.136,91.788,thunderstorm,200,31.2,0.8,46,12.8,80.0
107,2026-07-23,Kahilipara,26.133,91.762,heavy rain,502,33.6,3.7,52,1.9,60.0
108,2026-07-23,Maligaon,26.158,91.679,very heavy rain,503,28.3,2.7,83,2.9,60.0
109,2026-07-23,Jalukbari,26.152,91.665,haze,721,19.5,2.5,55,29.7,45.0
110,2026-07-23,Gauhati University,26.152,91.665,clear sky,800,25.1,3.2,69,52.8,5.0
111,2026-07-23,IIT Guwahati,26.19,91.695,light rain,500,26.1,3.2,89,27.0,30.0
112,2026-07-23,Guwahati Medical College,26.155,91.7,very heavy rain,503,25.6,1.5,96,54.0,60.0
113,2026-07-23,Saraighat Bridge,26.1889,91.67,scattered clouds,802,27.1,8.7,67,0.0,10.0
114,2026-07-23,North Guwahati Ghat,26.198,91.69,few clouds,801,27.5,2.6,71,14.8,10.0
115,2026-07-23,Amingaon,26.19,91.66,thunderstorm with heavy rain,202,35.8,9.5,85,39.5,80.0
116,2026-07-23,Noonmati,26.178,91.806,overcast clouds,804,30.7,1.4,86,45.2,10.0
117,2026-07-23,Narengi,26.175,91.84,light drizzle,300,22.2,4.8,75,0.0,20.0
118,2026-07-23,Khanapara,26.118,91.818,heavy rain,502,26.4,4.7,50,34.9,60.0
119,2026-07-23,Lokhra,26.105,91.735,light drizzle,300,30.5,1.3,81,0.0,20.0
120,2026-07-23,Deepor Beel Wildlife Sanctuary,26.12,91.65,clear sky,800,29.9,1.6,58,5.2,5.0
121,2026-07-23,Sualkuchi Silk Village,26.1667,91.5667,light rain,500,32.0,3.4,83,11.9,30.0
122,2026-07-23,Hajo Pilgrimage Town,26.25,91.5167,clear sky,800,30.0,1.2,91,14.6,5.0
123,2026-07-23,Madan Kamdev Ruins,26.3667,91.6333,light rain,500,26.7,1.4,75,0.3,30.0
124,2026-07-23,Chandubi Lake,25.9333,91.4333,thunderstorm with heavy rain,202,31.0,0.7,89,27.8,80.0
125,2026-07-23,Accoland Water Park,26.09,91.59,light drizzle,300,23.9,2.0,80,0.0,20.0
126,2026-07-23,Pobitora Wildlife Sanctuary,26.2333,92.0833,thunderstorm,200,24.2,2.9,62,52.0,80.0
127,2026-07-23,Shillong,25.5788,91.8933,light drizzle,300,35.9,4.1,65,40.6,20.0
128,2026-07-23,Umiam Lake,25.657,91.889,thunderstorm,200,29.4,6.0,75,34.0,80.0
129,2026-07-23,Cherrapunji (Sohra),25.2912,91.6783,light drizzle,300,23.5,0.8,83,15.6,20.0
130,2026-07-23,Nohkalikai Falls,25.276,91.6857,overcast clouds,804,28.4,4.9,45,33.6,10.0
131,2026-07-23,"Living Root Bridge, Nongriat",25.247,91.715,thunderstorm,200,29.1,4.1,48,0.0,80.0
132,2026-07-23,Mawlynnong Village,25.2,91.9167,scattered clouds,802,31.9,2.0,45,0.0,10.0
133,2026-07-23,Dawki / Umngot River,25.19,92.02,heavy rain,502,29.0,0.3,56,36.6,60.0
134,2026-07-23,Kaziranga National Park,26.5775,93.1711,mist,701,29.4,3.0,76,24.0,45.0
135,2026-07-23,Nameri National Park,26.92,92.88,few clouds,801,26.8,2.8,54,40.9,10.0
136,2026-07-23,Manas National Park,26.7,91.0,scattered clouds,802,28.1,3.3,71,49.9,10.0
